"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"28710","genus","Gryllomorpha","","","","1;2;3;5","",""
"28709","species","Troglophilus ovuliformis","Karny, 1907","","","1;2;3;5","",""
"28708","species","Dolichopoda araneiformis","(Germar in Burmeister, 1838)","","","1;2;3;5","",""
"28707","subfamily","Dolichopodainae","","","","1;2;3;5","",""
"28706","genus","Dolichopoda","","","","1;2;3;5","",""
"28705","species","Dinarippiger discoidalis","(Fieber, 1853)","","","1;2;3;5","",""
"28704","genus","Dinarippiger","","","","1;2;3;5","",""
"28703","tribe","Ephippigerini","","","","1;2;3;5","",""
"28702","species","Yersinella raymondii","(Yersin, 1860)","","","1;2;3;5","",""
"28701","genus","Yersinella","","","","1;2;3;5","",""
"28700","species","Pachytrachis tumidus","Ingrisch & Pavićević, 2010","","","1;2;3;5","",""
"28699","species","Pachytrachis striolatus","(Fieber, 1853)","","","1;2;3;5","",""
"28698","species","Psorodonotus illyricus","Ebner, 1923","","","1;2;3;5","",""
"28697","species","Pholidoptera femorata","(Fieber, 1853)","","","1;2;3;5","",""
"28696","subspecies","Pholidoptera dalmatica dalmatica","(Krauss, 1879)","","","1;2;3;5","",""
"28695","species","Pholidoptera dalmatica","(Krauss, 1879)","","","1;2;3;5","",""
"28694","subspecies","Roeseliana roeselii fedtschenkoi","(Saussure, 1874)","","","1;2;3;5","",""
"28693","species","Metrioptera hoermanni","(Werner, 1906)","","","1;2;3;5","",""
"28692","species","Metrioptera prenjica","(Burr, 1899)","","","","",""
"28691","species","Tessellana orina","(Burr, 1899)","","","1;2;3;5","",""
"28690","subspecies","Tessellana tessellata tessellata","(Charpentier, 1825)","","","1;2;3;5","",""
"28689","species","Tessellana tessellata","(Charpentier, 1825)","","","1;2;3;5","",""
"28688","species","Montana stricta","(Zeller, 1849)","","","1;2;3;5","",""
"28687","subspecies","Platycleis escalerai escalerai","Bolívar, 1899","","","1;2;3;5","",""
"28686","species","Platycleis escalerai","Bolívar, 1899","","","1;2;3;5","",""
"28685","species","Conocephalus ebneri","Harz, 1966","","","1;2;3;5","",""
"28684","species","Conocephalus conocephalus","(Linnaeus, 1767)","","","1;2;3;5","",""
"28683","species","Cyrtaspis scutata","(Charpentier, 1825)","","","1;2;3;5","",""
"28682","genus","Cyrtaspis","","","","1;2;3;5","",""
"28681","species","Poecilimon albolineatus","Ingrisch & Pavićević, 2010","","","1;2;3;5","",""
"28680","species","Poecilimon elegans","Fieber in Brunner von Wattenwyl, 1878","","","1;2;3;5","",""
"28679","species","Poecilimon jonicus","(Fieber, 1853)","","","1;2;3;5","",""
"28678","species","Poecilimon nonveilleri","Ingrisch & Pavićević, 2010","","","1;2;3;5","",""
"28677","subspecies","Poecilimon affinis komareki","Cejchan, 1957","","","1;2;3;5","",""
"28676","species","Leptophyes intermedia","Ingrisch & Pavićević, 2010","","","1;2;3;5","",""
"28675","species","Acrometopa macropoda","(Burmeister, 1838)","","","1;2;3;5","",""
