"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"18528","species","Carex foetida","All.","","","","38",""
"18527","species","Carex buxbaumii","Wahlenb.","","","","38",""
"18526","species","Carex mucronata","All.","","","","38",""
"18525","species","Carex firma","Host","","","","38",""
"18524","species","Carex extensa","Gooden.","",";;;Veliki obalni šaš, obmorski šaš;;","","38",""
"18523","species","Rubus ulmifolius","Schott","","","","38","Rubus discolor;Rubus fruticosus subsp. discolor"
"18522","subspecies","Poa bulbosa vivipara","(Koeler) Arcang.","","","","38",""
"18521","species","Valeriana pratensis","Dierb.","","","","38","Valeriana officinalis subsp. collina"
"18520","species","Verbascum samniticum","Ten.","",";;;Samnijska divizma;;","","38","Verbascum phlomoides subsp. sartorii;Verbascum sartorii"
"18519","subspecies","Scrophularia heterophylla laciniata","(Waldst. et Kit.) Maire et Petitm.","",";Крпасти струпник;;Dronjavi strupnik;;","","38","Scrophularia laciniata;Scrophularia multifida"
"18518","subspecies","Saxifraga rotundifolia rotundifolia","","","","","38",""
"18517","subspecies","Saxifraga oppositifolia oppositifolia","","","","","38","Saxifraga oppositifolia var. meridionalis;Saxifraga oppositifolia subsp. glandulifera"
"18516","subspecies","Saxifraga exarata exarata","","","","","38",""
"18515","subspecies","Saxifraga adscendens parnassica","(Boiss. & Heldr.) Hayek","","","","38",""
"18514","subspecies","Saxifraga adscendens adscendens","","","","","38",""
"18513","species","Galium laevigatum","L.","","","","38","Galium sylvaticum subsp. laevigatum"
"18512","species","Galium pseudoaristatum","Schur","","","","38","Galium heuffelii"
"18511","subspecies","Sanguisorba minor balearica","(Nyman) Muñoz Garm. & C.Navarro","","","","38",""
"18510","species","Cotoneaster integerrimus","Medik.","","","","38",""
"18509","species","Alchemilla hoppeana","(Rchb.) Dalla Torre","",";;;Nabrana vrkuta;Velebitska vrkuta;","","38","Alchemilla velebitica;Alchemilla plicatula"
"18508","species","Alchemilla subcrenata","Buser","","","","38",""
"18507","subspecies","Thalictrum minus saxatile","Ces.","","","","38","Thalictrum arpadinum"
"18506","species","Trifolium tomentosum","L.","","","","38",""
"18505","species","Trifolium suffocatum","L.","","","","38",""
"18504","subspecies","Trifolium subterraneum yanninicum","Katzn. et F. Morley","","","","38","Trifolium yanninicum"
"18503","subspecies","Trifolium subterraneum oxaloides","Nyman","","","","38","Trifolium brachycalycinum"
"18502","species","Trifolium stellatum","L.","","","","38",""
"18501","species","Trifolium squarrosum","L.","","","","38",""
"18500","species","Trifolium squamosum","L.","","","","38",""
"18499","species","Trifolium spumosum","L.","","","","38",""
"18498","species","Trifolium setiferum","Boiss.","","","","38",""
"18497","subspecies","Trifolium repens orbelicum","(Velen.) Fritsch","","","","38",""
"18496","subspecies","Trifolium repens prostratum","Nyman","","","","38","Trifolium occidentale"
"18495","subspecies","Trifolium pratense frigidum","Simonk.","","","","38","Trifolium pratense subsp. nivale"
"18494","species","Trifolium lucanicum","Guss.","","","","38",""
"18493","subspecies","Trifolium hybridum elegans","(Savi) Asch. & Graebn.","","","","38",""
"18492","subspecies","Trifolium fragiferum bonannii","(C.Presl) Soják","","","","38",""
"18491","species","Trifolium cinctum","DC.","",";;;Opasana djetelina;;","","38","Trifolium maritimum subsp. cinctum"
"18490","species","Trifolium bocconei","Savi","","","","38",""
"18489","species","Trifolium alpinum","L.","","","","38",""
"18488","subspecies","Trifolium pratense pratense","","","","","38",""
