Kingdom,Subkingdom,Infrakingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,"Species Complex",Subspecies,ID,Author,"Taxon data is restricted","Taxon is allochthonous","Taxon is invasive","(old) FaunaEuropea ID","FaunaEuropea ID",Stages,"Conservation Legislations","Other Conservation Documents","Red Lists","Uses Atlas Codes","Native Name - Bosanski","Native Name - English","Native Name - Croatian","Native Name - Montenegrin","Native Name - Serbian (Cyrillic)","Native Name - Serbian (Latin)","Description - Bosanski","Description - English","Description - Croatian","Description - Montenegrin","Description - Serbian (Cyrillic)","Description - Serbian (Latin)"
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius ignymontiensis",,,12230,"Lacourt, 1973",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius sylvarum",,,12229,"(Stephens, 1835)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,,,,12228,"Latreille, 1802",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,,,,,12227,,No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,,,,Neurotoma,"Neurotoma fausta",,,12226,"(Klug, 1808)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,,,,Neurotoma,"Neurotoma nemoralis",,,12225,"(Linnaeus, 1758)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,,,,Neurotoma,"Neurotoma saltuum",,,12224,"(Linnaeus, 1758)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,,,,Neurotoma,,,,12223,"Konow, 1897",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Cephalciinae,,,Caenolyda,"Caenolyda reticulata",,,12222,"(Linnaeus, 1758)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Cephalciinae,,,Caenolyda,,,,12221,"Konow, 1897",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Cephalciinae,,,Cephalcia,"Cephalcia hartigii",,,12220,"(Bremi-Wolf, 1849)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Cephalciinae,,,Cephalcia,"Cephalcia erythrogaster",,,12219,"(Hartig, 1837)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Cephalciinae,,,Cephalcia,"Cephalcia arvensis",,,12218,"Panzer, 1805",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Cephalciinae,,,Cephalcia,"Cephalcia abietis",,,12217,"(Linnaeus, 1758)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Cephalciinae,,,Cephalcia,,,,12216,"Panzer, 1805",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Cephalciinae,,,,,,,12215,,No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,,,,Acantholyda,"Acantholyda hieroglyphica",,,12214,"(Christ, 1791)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,,,,Acantholyda,"Acantholyda posticalis",,,12213,"(Matsumura, 1912)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,,,,Acantholyda,"Acantholyda laricis",,,12212,"(Giraud, 1861)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
